[0,0]: 0 != -1495662140

[1,0]: 120 != 0

[1,1]: 120 != 0

[1,2]: 120 != 0

[1,3]: 120 != 0

[1,4]: 120 != 0

[1,5]: 120 != 0

[1,6]: 120 != 0

[1,7]: 120 != 0

[1,8]: 120 != 0

[1,9]: 120 != 0

[1,10]: 120 != 0

[1,11]: 120 != 0

[1,12]: 120 != 0

[1,13]: 120 != 0

[1,14]: 120 != 0

[1,15]: 120 != 0

[2,0]: 240 != 0

[2,1]: 240 != 0

[2,2]: 240 != 0

[2,3]: 240 != 0

[2,4]: 240 != 0

[2,5]: 240 != 0

[2,6]: 240 != 0

[2,7]: 240 != 0

[2,8]: 240 != 0

[2,9]: 240 != 0

[2,10]: 240 != 0

[2,11]: 240 != 0

[2,12]: 240 != 0

[2,13]: 240 != 0

[2,14]: 240 != 0

[2,15]: 240 != 0

[3,0]: 360 != 0

[3,1]: 360 != 0

[3,2]: 360 != 0

[3,3]: 360 != 0

[3,4]: 360 != 0

[3,5]: 360 != 0

[3,6]: 360 != 0

[3,7]: 360 != 0

[3,8]: 360 != 0

[3,9]: 360 != 0

[3,10]: 360 != 0

[3,11]: 360 != 0

[3,12]: 360 != 0

[3,13]: 360 != 0

[3,14]: 360 != 0

[3,15]: 360 != 0

[4,0]: 480 != 0

[4,1]: 480 != 0

[4,2]: 480 != 0

[4,3]: 480 != 0

[4,4]: 480 != 0

[4,5]: 480 != 0

[4,6]: 480 != 0

[4,7]: 480 != 0

[4,8]: 480 != 0

[4,9]: 480 != 0

[4,10]: 480 != 0

[4,11]: 480 != 0

[4,12]: 480 != 0

[4,13]: 480 != 0

[4,14]: 480 != 0

[4,15]: 480 != 0

[5,0]: 600 != 0

[5,1]: 600 != 0

[5,2]: 600 != 0

[5,3]: 600 != 0

[5,4]: 600 != 0

[5,5]: 600 != 0

[5,6]: 600 != 0

[5,7]: 600 != 0

[5,8]: 600 != 0

[5,9]: 600 != 0

[5,10]: 600 != 0

[5,11]: 600 != 0

[5,12]: 600 != 0

[5,13]: 600 != 0

[5,14]: 600 != 0

[5,15]: 600 != 0

[6,0]: 720 != 0

[6,1]: 720 != 0

[6,2]: 720 != 0

[6,3]: 720 != 0

[6,4]: 720 != 0

[6,5]: 720 != 0

[6,6]: 720 != 0

[6,7]: 720 != 0

[6,8]: 720 != 0

[6,9]: 720 != 0

[6,10]: 720 != 0

[6,11]: 720 != 0

[6,12]: 720 != 0

[6,13]: 720 != 0

[6,14]: 720 != 0

[6,15]: 720 != 0

[7,0]: 840 != 0

[7,1]: 840 != 0

[7,2]: 840 != 0

[7,3]: 840 != 0

[7,4]: 840 != 0

[7,5]: 840 != 0

[7,6]: 840 != 0

[7,7]: 840 != 0

[7,8]: 840 != 0

[7,9]: 840 != 0

[7,10]: 840 != 0

[7,11]: 840 != 0

[7,12]: 840 != 0

[7,13]: 840 != 0

[7,14]: 840 != 0

[7,15]: 840 != 0

[8,0]: 960 != 0

[8,1]: 960 != 0

[8,2]: 960 != 0

[8,3]: 960 != 0

[8,4]: 960 != 0

[8,5]: 960 != 0

[8,6]: 960 != 0

[8,7]: 960 != 0

[8,8]: 960 != 0

[8,9]: 960 != 0

[8,10]: 960 != 0

[8,11]: 960 != 0

[8,12]: 960 != 0

[8,13]: 960 != 0

[8,14]: 960 != 0

[8,15]: 960 != 0

[9,0]: 1080 != 0

[9,1]: 1080 != 0

[9,2]: 1080 != 0

[9,3]: 1080 != 0

[9,4]: 1080 != 0

[9,5]: 1080 != 0

[9,6]: 1080 != 0

[9,7]: 1080 != 0

[9,8]: 1080 != 0

[9,9]: 1080 != 0

[9,10]: 1080 != 0

[9,11]: 1080 != 0

[9,12]: 1080 != 0

[9,13]: 1080 != 0

[9,14]: 1080 != 0

[9,15]: 1080 != 0

[10,0]: 1200 != 0

[10,1]: 1200 != 0

[10,2]: 1200 != 0

[10,3]: 1200 != 0

[10,4]: 1200 != 0

[10,5]: 1200 != 0

[10,6]: 1200 != 0

[10,7]: 1200 != 0

[10,8]: 1200 != 0

